Date,sap_daily
23/12/2021,0.521455955
24/12/2021,0.046405297
25/12/2021,0.139749383
26/12/2021,0.17862222
27/12/2021,0.240370567
28/12/2021,0.42038635
29/12/2021,0.207893823
30/12/2021,0.1953799
31/12/2021,0.733545015
01/01/2022,0.452972009
02/01/2022,0.680123831
03/01/2022,0.711453091
04/01/2022,0.371672396
05/01/2022,1.451135138
06/01/2022,1.912111847
07/01/2022,0.994118643
08/01/2022,1.783870778
09/01/2022,0.389787159
10/01/2022,0.738090348
11/01/2022,0.358530961
12/01/2022,0.362830392
13/01/2022,0.189086392
14/01/2022,0.061224991
15/01/2022,0.103375268
16/01/2022,0.125295752
17/01/2022,0.320292554
18/01/2022,2.223941271
19/01/2022,2.222197035
20/01/2022,1.010608919
21/01/2022,0.988600047
22/01/2022,0.736255317
23/01/2022,0.09860465
24/01/2022,0.316216619
25/01/2022,0.213260234
26/01/2022,0.17295782
27/01/2022,0.401511518
28/01/2022,0.519026825
29/01/2022,1.37263171
30/01/2022,0.780210539
31/01/2022,1.361709117
01/02/2022,1.82509644
02/02/2022,0.25019174
03/02/2022,0.139505655
04/02/2022,0.19554219
05/02/2022,0.322229311
06/02/2022,2.266703151
07/02/2022,1.587601452
08/02/2022,1.91728611
09/02/2022,0.540039716
10/02/2022,0.117819576
11/02/2022,0.20862554
12/02/2022,3.390348008
13/02/2022,3.552811571
14/02/2022,0.70067676
15/02/2022,0.084466319
16/02/2022,1.659396553
17/02/2022,0.693329598
18/02/2022,0.236046846
19/02/2022,0.602147222
20/02/2022,0.59838836
21/02/2022,0.58336849
22/02/2022,1.038240943
23/02/2022,1.498335211
24/02/2022,0.722695277
25/02/2022,0.45518758
26/02/2022,1.271254335
27/02/2022,1.276154816
28/02/2022,0.538036264
01/03/2022,0.874587735
02/03/2022,0.703306239
03/03/2022,0.167422886
04/03/2022,0.123902738
05/03/2022,2.050885652
06/03/2022,1.216171989
07/03/2022,0.437183135
08/03/2022,0.551254092
09/03/2022,0.635393076
10/03/2022,0.70446944
11/03/2022,0.496550064
12/03/2022,0.471835628
13/03/2022,0.708851599
14/03/2022,0.676749971
15/03/2022,0.514587375
16/03/2022,0.42219637
17/03/2022,0.620755464
18/03/2022,0.406010858
