Date,uWUEa,T (mm/d),ET (mm/d)
1997/3/31,51.478647579842836,0.067070833,0.8198193982016269
1997/4/1,162.36727593977807,0.19756179590508505,0.7656249503890359
1997/4/2,197.30830623622435,0.1900523816431897,0.6060934140703533
1997/4/3,155.9005890682927,0.26061034486691836,1.051854118603177
1997/4/4,23.22893828504535,0.11570218855091104,3.1341792481281208
1997/4/5,26.758369207534038,0.051425914,1.2092998345803552
1997/4/6,10.213403277307561,0.060472351203505574,3.725615152019028
1997/4/7,45.32724175421504,0.16216204220307875,2.251134945654794
1997/4/8,112.16914236271619,0.21274669878207372,1.193441257821188
1997/4/9,327.08304540352077,0.33797109757761495,0.6501793117213696
1997/4/10,350.60708180668564,0.37581970814345583,0.6744821861520145
1997/4/11,46.45245173926959,0.083751296,1.1344739035144893
